scene,course,model,num_frames,auc_at_5,auc_at_15,auc_at_30,rotation_error_median_deg,translation_error_median_deg
flightroom_ssv_exp/gemsplat/2026-02-27_025654,circle_along_track,streamvggt,70,0.03718426501035197,0.13617667356797789,0.21790200138026225,24.356538555899704,28.567872661635608
flightroom_ssv_exp/gemsplat/2026-02-27_025654,circle_along_track,da3_chunked,70,0.48563146997929607,0.7915804002760524,0.8919944789510007,1.64006562350269,2.55705166829992
flightroom_ssv_exp/gemsplat/2026-02-27_025654,square_along_track,streamvggt,70,0.055652173913043466,0.18445824706694275,0.32966183574879226,9.232068225535404,13.72334189438147
flightroom_ssv_exp/gemsplat/2026-02-27_025654,square_along_track,da3_chunked,70,0.33424430641821945,0.6488336783988958,0.8039337474120084,3.5008755223791184,2.5027052965119183
button_drywall_on/splatfacto/2025-10-08_204137,circle_along_track,streamvggt,70,0.07991718426501036,0.25311249137336095,0.4466390614216701,3.9591728518142846,16.75472699468913
button_drywall_on/splatfacto/2025-10-08_204137,circle_along_track,da3_chunked,70,0.37921325051759835,0.6970600414078677,0.8366183574879229,1.7742118683932973,3.1838180800159135
button_drywall_on/splatfacto/2025-10-08_204137,square_along_track,streamvggt,70,0.1300207039337474,0.46291235334713593,0.6841545893719806,3.8895908509436867,6.428026587394495
button_drywall_on/splatfacto/2025-10-08_204137,square_along_track,da3_chunked,70,0.4107660455486542,0.7134023464458246,0.844278812974465,1.9255151703468991,2.421946702973119
packardpark/gemsplat/2026-02-17_052524,circle_along_track,streamvggt,70,0.10848861283643893,0.3468046928916494,0.5028571428571429,3.4003077283932788,10.023472193040185
packardpark/gemsplat/2026-02-17_052524,circle_along_track,da3_chunked,70,0.16596273291925465,0.45192546583850934,0.6097860593512767,4.450140955242523,4.754331655219774
packardpark/gemsplat/2026-02-17_052524,square_along_track,streamvggt,70,0.10327122153209109,0.31994478951000693,0.5407729468599033,3.3357829864441766,10.350269278478855
packardpark/gemsplat/2026-02-17_052524,square_along_track,da3_chunked,70,0.20314699792960664,0.559447895100069,0.7408557625948929,3.4834655399083445,4.226166311433398
